al.Manufacturer,al.Model Number,al.Product Type,al.IP Address,al.MAC Address,al.PO Number,acc.Account Name,Lifecycle Asset Type,lm.Building Name,lm.Room Name,lm.Room Code,Install Date,Replacement Year
Crestron,CEN-SW-POE-5,Networking,,,,University of Utah,Classroom,BUC,BUC 301 - F,301 - F,"Jan 01, 2019",2026
Magewell,USBCaputre HDMI Plus,Accessory,,,,University of Utah,Classroom,FASB,FASB 101 - F,101 - F,"Jan 01, 2019",2026
Atlona,AT-USB-EX-100-Kit,Camera,,,,University of Utah,Classroom,GC,GC 2760,2760,"Jan 01, 2019",2026
2,"8"" wide mounted on ceiling","Audio (Speaker, amplifier)",,,,University of Utah,Classroom,HEB,HEB 2010 - F,2010 - F,"Jan 01, 2019",2026
Crestron,DM-RMC-4KZ-SCALER-C,"TX, RX, Scaler",10.72.32.78,c4.42.68.0d.b5.77,,University of Utah,Classroom,HPR E,HPR E 206 - F,206 - F,"Jan 01, 2019",2026
Rocware,RM-702,Audio (Microphone),,,,University of Utah,Classroom,HSEB,HSEB 3100D,3100D,"Jan 01, 2019",2026
Crestron,TSW-760,User Interface,10.88.4.167,00.10.7f.a3.04.ab,,University of Utah,Classroom,GC,GC 2575,2575,"Jan 01, 2019",2026
Crestron,"Saros 6.5""","Audio (Speaker, amplifier)",,,,University of Utah,Classroom,BEHS,BEHS 104,104,"Jan 01, 2019",2026
Crestron,AM-3000,Wireless Presentation,10.88.39.149,c6.42.68.57.17.f1,,University of Utah,Classroom,BEHS,BEHS 109,109,"Jan 01, 2019",2026
Crestron,HD-RX-201-C-E,"TX, RX, Scaler",10.88.40.34,00:10:7f:ce:de:be,,University of Utah,Classroom,BUC,BUC 204 - F,204 - F,"Jan 01, 2019",2026
Panasonic,PT-VMZ51U7,Display,,,,University of Utah,Classroom,BEHS,BEHS 116,116,"Jan 01, 2019",2026
Crestron,TSW-760,User Interface,10.88.40.87,00.10.7f.98.a5.e5,,University of Utah,Classroom,BUC,BUC 305 - F,305 - F,"Jan 01, 2019",2026
Crestron,DMPS3-300-C,Control Processor,10.80.41.190,00.10.7F.8A.43.F1,,University of Utah,Classroom,FASB,FASB 295 - F,295 - F,"Jan 01, 2019",2026
Atlona,AT-HDVS-CAM-CMNT,Camera,,,,University of Utah,Classroom,GC,GC 2880,2880,"Jan 01, 2019",2026
Crestron,TSW-760,User Interface,10.72.32.147,00.10.7f.e2.04.8a,,University of Utah,Classroom,HPR N,HPR N 225 - F,225 - F,"Jan 01, 2019",2026
Crestron,DMPS3-300-C,Control Processor,10.72.36.15,00.10.7f.a8.7f.d3,,University of Utah,Classroom,HSEB,HSEB 1120,1120,"Jan 01, 2019",2026
Crestron,AM-3000,Wireless Presentation,,,,University of Utah,Classroom,GC,GC 1760,1760,"Jan 01, 2019",2026
Da-Lite,2 Screens,Accessory,,,,University of Utah,Classroom,GC,GC 2575,2575,"Jan 01, 2019",2026
Crestron,AMP-225,"Audio (Speaker, amplifier)",,,,University of Utah,Classroom,BEHS,BEHS 105,105,"Jan 01, 2019",2026
Ulink,UL10,Accessory,,,,University of Utah,Classroom,BUC,BUC 105 - F,105 - F,"Jan 01, 2019",2026
Da-Lite,,Accessory,,,,University of Utah,Classroom,BUC,BUC 206 - F,206 - F,"Jan 01, 2019",2026
Atlona,,Camera,,,,University of Utah,Classroom,BUC,BUC 210 - F,210 - F,"Jan 01, 2019",2026
,"6 Ceiling mounted- 6"" wide","Audio (Speaker, amplifier)",,,,University of Utah,Classroom,CTIHB,CTIHB 101 - F,101 - F,"Jan 01, 2019",2026
Crestron,TSW-760,User Interface,10.88.4.27,00.10.7f.92.c0.e6,,University of Utah,Classroom,GC,GC 1570,1570,"Jan 01, 2019",2026
Crestron,Am-3000,Wireless Presentation,,,,University of Utah,Classroom,GC,GC 3640,3640,"Jan 01, 2019",2026
Atlona,,Camera,,,,University of Utah,Classroom,HPR N,HPR N 226 - F,226 - F,"Jan 01, 2019",2026
Da-Lite,,Accessory,,,,University of Utah,Classroom,HSEB,HSEB 1130,1130,"Jan 01, 2019",2026
Crestron,DMPS3-300-C,Control Processor,10.88.2.165,00.10.7f.d5.8b.ff,,University of Utah,Classroom,MLIB,MLIB 1150 - F,1150 - F,"Jan 01, 2019",2026
Crestron,RMC3,Control Processor,10.88.44.10,00.10.7f.c2.01.95,,University of Utah,Classroom,MCD,MCD 130 - F,130 - F,"Jan 01, 2019",2026
Panasonic,PT-VMZ61U7,Display,,,,University of Utah,Classroom,HSEB,HSEB 2912,2912,"Jan 01, 2019",2026
Crestron,TSW-760,User Interface,10.72.36.187,00.10.7f.bb.b3.3c,,University of Utah,Classroom,HSEB,HSEB 2928,2928,"Jan 01, 2019",2026
QSC,QSC CORE 24f,Control Processor,,,,University of Utah,Classroom,HSEB,HSEB 4100C,4100C,"Jan 01, 2019",2026
Crestron,DM-TX-4KZ-100-C,"TX, RX, Scaler",,,,University of Utah,Classroom,MEK,MEK 3550,3550,"Jan 01, 2019",2026
ART,PS4x4,Accessory,,,,University of Utah,Classroom,JWB,JWB 335 - F,335 - F,"Jan 01, 2019",2026
Panasonic,PT-VMZ61U7,Display,,,,University of Utah,Classroom,HSEB,HSEB 2908,2908,"Jan 01, 2019",2026
inacessable,,Networking,,,,University of Utah,Classroom,HSEB,HSEB 3430,3430,"Jan 01, 2019",2026
Crestron,Crestron DM-NVX-D30,"TX, RX, Scaler",,,,University of Utah,Classroom,HSEB,HSEB 4100C,4100C,"Jan 01, 2019",2026
Epson,EB-L630U,Display,192.168.0.151,,,University of Utah,Classroom,MEK,MEK 3550,3550,"Jan 01, 2019",2026
Crestron,TSW-752,User Interface,10.80.35.157,00.10.7f.82.c0.8b,,University of Utah,Classroom,JWB,JWB 335 - F,335 - F,"Jan 01, 2019",2026
Magewell,,Accessory,,,,University of Utah,Classroom,HSEB,HSEB 2120,2120,"Jan 01, 2019",2026
Panasonic,PT-VMZ61U7,Display,,,,University of Utah,Classroom,HSEB,HSEB 3430,3430,"Jan 01, 2019",2026
Crestron,Crestron DM-NVX-E30C,"TX, RX, Scaler",,,,University of Utah,Classroom,HSEB,HSEB 4100C,4100C,"Jan 01, 2019",2026
Rocware,,Audio (Microphone),,,,University of Utah,Classroom,MCD,MCD 230 - F,230 - F,"Jan 01, 2019",2026
Crestron,DM-TX-4KZ-100-C,"TX, RX, Scaler",,,,University of Utah,Classroom,JWB,JWB 333-F,333-F,"Jan 01, 2019",2026
2,,Accessory,,,,University of Utah,Classroom,HSEB,HSEB 1750,1750,"Jan 01, 2019",2026
Sennheiser,,Audio (Microphone),,,,University of Utah,Classroom,JTB,JTB 130,130,"Jan 01, 2019",2026
Shure,Shure MX418D/C,Audio (Microphone),,,,University of Utah,Classroom,HSEB,HSEB 4100C,4100C,"Jan 01, 2019",2026
Crestron,Amp-225,Accessory,,,,University of Utah,Classroom,WBB,WBB 617 - F,617 - F,"Jan 01, 2019",2026
RAMSA,2 Large Speakers,"Audio (Speaker, amplifier)",,,,University of Utah,Classroom,BEHS,BEHS Aud.,Aud.,"Jan 01, 2019",2026
AtlasIED,SM42 Wall Mount,"Audio (Speaker, amplifier)",,,,University of Utah,Classroom,BEHS,BEHS Aud.,Aud.,"Jan 01, 2019",2026
Crestron,AMP-3210,"Audio (Speaker, amplifier)",,,,University of Utah,Classroom,BEHS,BEHS Aud.,Aud.,"Jan 01, 2019",2026
Da-Lite,Automated Screen,Accessory,,,,University of Utah,Classroom,BEHS,BEHS Aud.,Aud.,"Jan 01, 2019",2026
Polycom,Expansion Microphone,Audio (Microphone),,,,University Health Care,Conference Room,Helix,Medium Conf 1C108,1C108,"Mar 28, 2024",2030
Crestron,DM-TX-4KZ-100-C-1G,"TX, RX, Scaler",,,,University Health Care,Conference Room,Helix,Large Conf 1C115,1C115,"Mar 28, 2024",2030
Samsung,QB75R,Display,,,,University Health Care,Conference Room,Helix,Small Conf 2C106,2C106,"Mar 28, 2024",2030
Polycom,Expansion Microphone,Audio (Microphone),,,,University Health Care,Conference Room,Helix,Medium Conf 2C050,2C050,"Mar 28, 2024",2030
Polycom,Poly Studio E70,Camera,,,,University Health Care,Conference Room,Helix,Medium Conf 1C120,1C120,"Mar 28, 2024",2030
Samsung,QB85R,Display,,,,University Health Care,Conference Room,Helix,Small Conf 4C115,4C115,"Mar 28, 2024",2030
Polycom,Trio C60,Audio (Microphone),,,,University Health Care,Conference Room,Helix,Medium Conf 4C050,4C050,"Mar 28, 2024",2030
Samsung,QB98R,Display,,,,University Health Care,Conference Room,Helix,Large Conf 5N201,5N201,"Mar 28, 2024",2030
Crestron,DM-TX-4KZ-202-C,"TX, RX, Scaler",,,,University Health Care,Conference Room,Helix,Medium Conf 1C106,1C106,"Mar 28, 2024",2030
Polycom,Poly Studio E70,Camera,,,,University Health Care,Conference Room,Helix,Medium Conf 1C202,1C202,"Mar 28, 2024",2030
Samsung,QB98R,Display,,,,University Health Care,Lab,Helix,Reading Room 1S149,1S149,"Mar 28, 2024",2030
Barco,ClickShare C-10,Wireless Presentation,,,,University Health Care,Office,Helix,Office 2S105,2S105,"Mar 28, 2024",2030
Polycom,Poly Studio X30 w/ TC8 Touchpanel,"Audio (Speaker, amplifier)",,,,University Health Care,Huddle Room,Helix,Huddle 1N202,1N202,"Mar 28, 2024",2030
Crestron,DM-RMC-4KZ-100-C,"TX, RX, Scaler",,,,University Health Care,Huddle Room,Helix,Huddle 5N219,5N219,"Mar 28, 2024",2030
Samsung,QB55R,Display,,,,University Health Care,Office,Helix,Office 4S156,4S156,"Mar 28, 2024",2030
Samsung,QB55R,Display,,,,University Health Care,Huddle Room,Helix,Huddle 3C2000,3C2000,"Mar 28, 2024",2030
Samsung,QB55R,Display,,,,University Health Care,Conference Room,Helix,Small Conf 2S101,2S101,"Mar 28, 2024",2030
Samsung,QM65R,Display,,,,University Health Care,Digital Signage,Helix,Building Wide Digital Signage,,"Mar 28, 2024",2030
Samsung,QB55R,Display,,,,University Health Care,Huddle Room,Helix,Huddle 4C2000,4C2000,"Mar 28, 2024",2030
Barco,ClickShare C-10,Wireless Presentation,,,,University Health Care,Office,Helix,Office 2N208,2N208,"Mar 28, 2024",2030
Polycom,Poly Studio X30 w/ TC8 Touchpanel,"Audio (Speaker, amplifier)",,,,University Health Care,Huddle Room,Helix,Huddle 1C2000,1C2000,"Mar 28, 2024",2030
Listen Technologies,LCS-120-01,Audio (Microphone),,,,University Health Care,Auditorium,Helix,Lecture/Conference GS150/GS155,GS150/GS155,"Mar 28, 2024",2030
Crestron,DM-NVX-360C,"TX, RX, Scaler",,,,University Health Care,Auditorium,Helix,Lecture/Conference GS150/GS155,GS150/GS155,"Mar 28, 2024",2030
Crestron,PRO4,Control Processor,,,,University Health Care,Auditorium,Helix,Lecture/Conference GS150/GS155,GS150/GS155,"Mar 28, 2024",2030
Panasonic,PT-RZ890U,Display,,,,University Health Care,Auditorium,Helix,Lecture/Conference GS150/GS155,GS150/GS155,"Mar 28, 2024",2030
Crestron,DM-TX-4K-302-C,"TX, RX, Scaler",,,,University of Utah,Classroom,MLIB,MLIB 1715 - F,1715 - F,"Jan 01, 2019",2026
Magewell,USB Capture,Accessory,,,,University of Utah,Classroom,GC,GC 3660,3660,"Jan 01, 2019",2026
Crestron,DM-TX-4KZ-100-C-1G,"TX, RX, Scaler",,,,University of Utah,Classroom,GC,GC 5680,5680,"Jan 01, 2019",2026
Crestron,TSW-1052,User Interface,192.168.1.,00.10.7f.64.8c.a4,,University of Utah,Classroom,HEB,"HEB 2004, 2006, 2008 - F",2008,"Jan 01, 2019",2026
Crestron,HD-RX-4K-210C-E,"TX, RX, Scaler",,,,University of Utah,Classroom,HSEB,HSEB 3515A,3515A,"Jan 01, 2019",2026
Atlona,AT-HDVS-CAM-HDMI-BK-TVS-1,Camera,,,,University of Utah,Classroom,HSEB,HSEB 4100D,4100D,"Jan 01, 2019",2026
Panasonic,PT-VMZ51,Display,,,,University of Utah,Classroom,AEB,AEB 340 - F,340 - F,"Jan 01, 2019",2026
Crestron,DM-MD8x8,Control Processor,10.88.4.202,00.10.7f.a5.13.1c,,University of Utah,Classroom,GC,GC 2950P,2950P,"Jan 01, 2019",2026
Panasonic,PT-MZ780 U,Display,,,,University of Utah,Classroom,GC,GC 4700,4700,"Jan 01, 2019",2026
Epson,L1065U,Display,192.168.1.36,38.1a.52.09.b0.e1,,University of Utah,Classroom,HEB,"HEB 2004, 2006, 2008 - F",2004,"Jan 01, 2019",2026
Crestron,DMRC4k100C1G,"TX, RX, Scaler",,,,University of Utah,Classroom,HSEB,HSEB 2680,2680,"Jan 01, 2019",2026
Atlona,AT-HDVS-CAM-HDMI-BK,Camera,,,,University of Utah,Classroom,HSEB,HSEB 2962,2962,"Jan 01, 2019",2026
Crestron,DMPS3-300-C,Control Processor,10.88.4.71,00.10.7f.9e.4c.4c,,University of Utah,Classroom,GC,GC 1900,1900,"Jan 01, 2019",2026
Trendnet,TPE-TG44g/A,Networking,,,,University of Utah,Classroom,MLIB,MLIB 1715 - F,1715 - F,"Jan 01, 2019",2026
Panasonic,PTMZ780,Display,,,,University of Utah,Classroom,GC,GC 3680,3680,"Jan 01, 2019",2026
Crestron,AM-3100,Wireless Presentation,,,,University of Utah,Classroom,GC,GC 5680,5680,"Jan 01, 2019",2026
Crestron,DM-RMC-SCALER-C,Accessory,,00.10.7f.5f.d6.e6,,University of Utah,Classroom,HEB,"HEB 2004, 2006, 2008 - F",2004,"Jan 01, 2019",2026
Shure,MX202W-A/C,Audio (Microphone),,,,University of Utah,Classroom,HSEB,HSEB 3420,3420,"Jan 01, 2019",2026
,,"TX, RX, Scaler",10.72.36.224,,,University of Utah,Classroom,HSEB,HSEB 2969,2969,"Jan 01, 2019",2026
Crestron,HD-RX-201-C-E,"TX, RX, Scaler",10.88.35.14,00:10:7f:b3:95:be,,University of Utah,Classroom,AEB,AEB 310 -F,310 -F,"Jan 01, 2019",2026
Crestron,Am-3000,Wireless Presentation,,,,University of Utah,Classroom,GC,GC 2950P,2950P,"Jan 01, 2019",2026
Atlona,,Camera,,,,University of Utah,Classroom,GC,GC 4700,4700,"Jan 01, 2019",2026
Epson,PU1007B,Display,192.168.1.31,38.1a.52.b1.07.f4,,University of Utah,Classroom,HEB,"HEB 2004, 2006, 2008 - F",2004,"Jan 01, 2019",2026
Panasonic,PTVMZ61u7,Display,,,,University of Utah,Classroom,HSEB,HSEB 2680,2680,"Jan 01, 2019",2026
Crestron,DM-RMC-4K-100-C-1G,"TX, RX, Scaler",,,,University of Utah,Classroom,HSEB,HSEB 2958,2958,"Jan 01, 2019",2026
Videri,Spark2,Display,,,,Clearvista,Digital Signage,Headquarters,Experience Center,101,"Jul 15, 2026",2031
Sennheiser,TEAMCONNECTCEIL,Audio (Microphone),,,,Weber State University,Conference Room,McKay Engineering,Standard Conference Room,258,"Oct 24, 2023",2030
,"6""","Audio (Speaker, amplifier)",,,,University of Utah,Classroom,AEB,AEB 310,310,"Feb 10, 2026",2033
,"8"" wide","Audio (Speaker, amplifier)",,,,University of Utah,Classroom,AEB,AEB 360,360,"Feb 10, 2026",2033
Videri,SR24902M,Display,,,110000004615 / RET-10464,Yaamava Resort & Casino,Digital Signage,Yaamava Theater,Hallway,100,"Jan 03, 2025",2032
,Firewall,Networking,,,,Clearvista,Training Room,Headquarters,Operations Department,201,"Jul 15, 2026",2029
"Covid, Inc.",W1114P-W,Accessory,,,,Weber State University,Classroom,McKay Engineering,Room Group,244,"Oct 24, 2023",2030
,"6""","Audio (Speaker, amplifier)",,,,University of Utah,Classroom,AEB,AEB 310,310,"Feb 10, 2026",2033
Videri,SR23202M,Display,,,110000004615 / RET-10464,Yaamava Resort & Casino,Digital Signage,Yaamava Theater,Lobby,200,"Jan 03, 2025",2032
Videri,SR24902M,Display,,,110000004615 / RET-10464,Yaamava Resort & Casino,Digital Signage,Yaamava Theater,Hallway,100,"Jan 03, 2025",2032
Yealink,YEA-A50-031,Camera,,,,Onset Financial,Conference Room,St. George Office,4th Floor Conference Room,,"Jul 28, 2025",2032
Sony,FW85BZ35L,Display,,,,Weber State University,Classroom,McKay Engineering,Room Group,244,"Oct 24, 2023",2030
Crestron,DMPS3-300-C,Control Processor,10.88.35.15,00.10.7f.d0.95.ee,,University of Utah,Classroom,AEB,AEB 320,320,"Feb 10, 2026",2033
Videri,SR23202M,Display,,,110000004615 / RET-10464,Yaamava Resort & Casino,Digital Signage,Yaamava Theater,Lobby,200,"Jan 03, 2025",2032
Dell,Dell P2424HT,Display,,,,University of Utah,Classroom,HSEB,HSEB 5100C ZR,5100C ZR,"Jan 01, 2019",2026
Yealink,YEA-A50-031,Camera,,,,Onset Financial,Conference Room,St. George Office,War Room,,"Jul 28, 2025",2032
Sony,FW85BZ35L,Display,,,,Weber State University,Classroom,McKay Engineering,Room Group,229,"Oct 24, 2023",2030
Da-Lite,MODEL C 100DIAG 60X80,Accessory,,,U000613719,University of Utah,Classroom,AEB,AEB 320,320,"Feb 10, 2026",2033
Videri,SR24302M,Display,,,110000004615 / RET-10464,Yaamava Resort & Casino,Digital Signage,Yaamava Theater,Lobby,200,"Jan 03, 2025",2032
Crestron,Crestron DM-NVX-E30C,"TX, RX, Scaler",192.168.0.184,c4.42.68.82.0f.f4,,University of Utah,Classroom,HSEB,HSEB 5100C ZR,5100C ZR,"Jan 01, 2019",2026
Sony,FW65BZ30L,Display,,,,Weber State University,Conference Room,McKay Engineering,Standard Conference Room,231,"Oct 24, 2023",2030
Shure,MX202B/C,Audio (Microphone),,,,Weber State University,Classroom,McKay Engineering,Classrooms,322,"Oct 24, 2023",2030
Shure,MX202B/C,Audio (Microphone),,,,Weber State University,Classroom,McKay Engineering,Classrooms,327,"Oct 24, 2023",2030
Extron,60-1823-01,"Audio (Speaker, amplifier)",,,,Weber State University,Classroom,McKay Engineering,Classrooms,331,"Oct 24, 2023",2030
Extron,60-000690,"TX, RX, Scaler",,,,Weber State University,Classroom,McKay Engineering,Room Group,330,"Oct 24, 2023",2030
Crestron,DMPS3-300-C,Control Processor,10.88.35.15,00.10.7f.d0.95.ee,,University of Utah,Classroom,AEB,AEB 320 - F,320 - F,"Jan 01, 2019",2026
Araknis Networks,AN-110-SW-R-8,Networking,,,,Weber State University,Conference Room,McKay Engineering,Standard Conference Room,231,"Oct 24, 2023",2030
Crestron,TS-770-B-S,User Interface,,,,Weber State University,Classroom,McKay Engineering,Classrooms,326,"Oct 24, 2023",2030
Crestron,TS-770-B-S,User Interface,,,,Weber State University,Classroom,McKay Engineering,Classrooms,328,"Oct 24, 2023",2030
Kramer Electronics,KDSEN7,"TX, RX, Scaler",,,,Weber State University,Classroom,McKay Engineering,Room Group,321,"Oct 24, 2023",2030
Chief,MTM1U,Accessory,,,,Weber State University,Classroom,McKay Engineering,Room Group,330,"Oct 24, 2023",2030
Crestron,TS-770-B-S,User Interface,,,,Weber State University,Conference Room,McKay Engineering,Standard Conference Room,230,"Oct 24, 2023",2030
Epson,V12H758020,Camera,,,,Weber State University,Conference Room,McKay Engineering,Standard Conference Room,232,"Oct 24, 2023",2030
Mount-It!,MI1772S,Accessory,,,,Weber State University,Classroom,McKay Engineering,Classrooms,326,"Oct 24, 2023",2030
Kramer Electronics,10-804080190,"TX, RX, Scaler",,,,Weber State University,Classroom,McKay Engineering,Classrooms,328,"Oct 24, 2023",2030
Sony,FW55BZ30L,Display,,,,Weber State University,Classroom,McKay Engineering,Room Group,321,"Oct 24, 2023",2030
Trendnet,TPE-TG50g/A,Networking,,,,University of Utah,Classroom,AEB,AEB 306,306,"Sep 15, 2025",2032
Epson,V12H758020,Camera,,,,Weber State University,Conference Room,McKay Engineering,Standard Conference Room,230,"Oct 24, 2023",2030
Lumens,VC-R30B,Camera,,,,Weber State University,Classroom,McKay Engineering,Classrooms,322,"Oct 24, 2023",2030
Strong,SR-CAB-10U,Accessory,,,,Weber State University,Classroom,McKay Engineering,Classrooms,327,"Oct 24, 2023",2030
Shure,MX202B/C,Audio (Microphone),,,,Weber State University,Classroom,McKay Engineering,Classrooms,331,"Oct 24, 2023",2030
Extron,60-000690,"TX, RX, Scaler",,,,Weber State University,Classroom,McKay Engineering,Room Group,330,"Oct 24, 2023",2030
Panasonic,PT-VMZ62,Display,,,,University of Utah,Classroom,AEB,AEB 320 - F,320 - F,"Jan 01, 2019",2026
Panasonic,PT-MZ780WU,Display,,,,University of Utah,Classroom,GC,GC 2575,2575,"Jan 01, 2019",2026
Crestron,HD-RX-201-C-E,"TX, RX, Scaler",10.88.38.21,No Access,,University of Utah,Classroom,BEHS,BEHS 104,104,"Jan 01, 2019",2026
Crestron,HD-TXC-4KZ-101-1G-W,"TX, RX, Scaler",,,,University of Utah,Classroom,BEHS,BEHS 109,109,"Jan 01, 2019",2026
Crestron,TSW-760,User Interface,10.88.40.32,00.10.7f.e7.2f.d9,,University of Utah,Classroom,BUC,BUC 204 - F,204 - F,"Jan 01, 2019",2026
Crestron,"Saros 6.5""","Audio (Speaker, amplifier)",,,,University of Utah,Classroom,BEHS,BEHS 114,114,"Jan 01, 2019",2026
Da-Lite,,Accessory,,,,University of Utah,Classroom,BUC,BUC 304 - F,304 - F,"Jan 01, 2019",2026
2 Ceiling mounted,"8""","Audio (Speaker, amplifier)",,,,University of Utah,Classroom,FASB,FASB 250 - F,250 - F,"Jan 01, 2019",2026
Crestron,DMPS3-4K-150-C,Control Processor,10.88.4.191,,,University of Utah,Classroom,GC,GC 2880,2880,"Jan 01, 2019",2026
Da-Lite,,Accessory,,,,University of Utah,Classroom,HPR N,HRP N 218 - F,218 - F,"Jan 01, 2019",2026
2,,"Audio (Speaker, amplifier)",,,,University of Utah,Classroom,HSEB,HSEB 1007,1007,"Jan 01, 2019",2026
Crestron,DMPS3-4K-150-C,Control Processor,10.88.4.41,,,University of Utah,Classroom,GC,GC 1770,1770,"Jan 01, 2019",2026
Crestron,TSW-760,User Interface,10.88.35.32,00.10.7f.c5.05.87,,University of Utah,Classroom,AEB,AEB 360 - F,360 - F,"Jan 01, 2019",2026
Crestron,RMC3,Control Processor,10.88.38.30,00.10.7f.eb.ce.72,,University of Utah,Classroom,BEHS,BEHS 106,106,"Jan 01, 2019",2026
Panasonic,PT-VMZ51,Display,10.88.40.14,B8:20:8E:58:0D:A8,,University of Utah,Classroom,BUC,BUC 106 - F,106 - F,"Jan 01, 2019",2026
Crestron,TSW-760,User Interface,10.88.40.42,00.10.7f.f0.d3.3f,,University of Utah,Classroom,BUC,BUC 207-F,207-F,"Jan 01, 2019",2026
Crestron,CEN-SW-POE-5,Networking,,,,University of Utah,Classroom,BUC,BUC 210 - F,210 - F,"Jan 01, 2019",2026
Crestron,DMPS3-300-C,Control Processor,10.88.45.210,00.10.7f.9a.a3.45,,University of Utah,Classroom,CTIHB,CTIHB 109 - F,109 - F,"Jan 01, 2019",2026
Crestron,AM-3000,Wireless Presentation,,,,University of Utah,Classroom,GC,GC 1570,1570,"Jan 01, 2019",2026
Sony,FW75EZ20L,Display,,,,University of Utah,Classroom,GC,GC 5620,5620,"Jan 01, 2019",2026
Crestron,HD-TX-201-C-2G-E,"TX, RX, Scaler",,,,University of Utah,Classroom,HPR N,HPR N 226 - F,226 - F,"Jan 01, 2019",2026
Crestron,DM-RMC-4K-SCALER-C,"TX, RX, Scaler",10.72.36.25,,,University of Utah,Classroom,HSEB,HSEB 1140,1140,"Jan 01, 2019",2026
Crestron,Am-3000,Wireless Presentation,,,,University of Utah,Classroom,GC,GC 1790,1790,"Jan 01, 2019",2026
Trendnet,TPE-TG44E,Networking,,,,University of Utah,Classroom,BEHS,BEHS 101,101,"Jan 01, 2019",2026
Crestron,HD-RX-201-C-E,"TX, RX, Scaler",10.88.38.36,00:10:7f:ce:de:c2,,University of Utah,Classroom,BEHS,BEHS 107,107,"Jan 01, 2019",2026
Radio Design Labs,STD-10K,Accessory,,,,University of Utah,Classroom,BUC,BUC 107 - F,107 - F,"Jan 01, 2019",2026
Crestron,CEN-SW-POE-5,Networking,,,,University of Utah,Classroom,BEHS,BEHS 111,111,"Jan 01, 2019",2026
Magewell,USB Capture HDMI Plus,Accessory,,,,University of Utah,Classroom,BUC,BUC 212-F,212-F,"Jan 01, 2019",2026
,2 Mounted on Back wall,"Audio (Speaker, amplifier)",,,,University of Utah,Classroom,CTIHB,CTIHB 109 - F,109 - F,"Jan 01, 2019",2026
Crestron,TSW-760,User Interface,10.88.4.177,00.10.7f.93.06.c8,,University of Utah,Classroom,GC,GC 2675,2675,"Jan 01, 2019",2026
Da-Lite,,Accessory,,,,University of Utah,Classroom,HEB,HEB 2002 - F,2002 - F,"Jan 01, 2019",2026
2,"6"" wide","Audio (Speaker, amplifier)",,,,University of Utah,Classroom,HPR N,HPR N 242 - F,242 - F,"Jan 01, 2019",2026
Rocware,RM-702,Audio (Microphone),,,,University of Utah,Classroom,HSEB,HSEB 3100C,3100C,"Jan 01, 2019",2026
Netgear,GS324PP,Networking,,,,University of Utah,Classroom,GC,GC 2560,2560,"Jan 01, 2019",2026
Hall Technologies,,Accessory,,,,University of Utah,Classroom,BEHS,BEHS 102,102,"Jan 01, 2019",2026
Crestron,AM-3000,Wireless Presentation,10.88.39.147,c4.42.68.57.97.a8,,University of Utah,Classroom,BEHS,BEHS 108,108,"Jan 01, 2019",2026
Crestron,HD-RX-201-C-E,"TX, RX, Scaler",10.88.40.26,00:10:7f:ce:e5:7d,,University of Utah,Classroom,BUC,BUC 203 - F,203 - F,"Jan 01, 2019",2026
Panasonic,PT-VMZ51U7,Display,,,,University of Utah,Classroom,BEHS,BEHS 114,114,"Jan 01, 2019",2026
Crestron,DMPS3-300-C,Control Processor,10.88.40.70,00.10.7F.98.C4.53,,University of Utah,Classroom,BUC,BUC 302 - F,302 - F,"Jan 01, 2019",2026
Crestron,DMPS3-300-C,Control Processor,10.80.41.185,00.10.7F.77.EB.07,,University of Utah,Classroom,FASB,FASB 250 - F,250 - F,"Jan 01, 2019",2026
Crestron,DMPS3 300 C,Control Processor,10.88.4.186,00.10.7f.cc.2c.26,,University of Utah,Classroom,GC,GC 2781,2781,"Jan 01, 2019",2026
Atlona,,Camera,,,,University of Utah,Classroom,HPR N,HRP N 218 - F,218 - F,"Jan 01, 2019",2026
Panasonic,PT-VMZ61U7,Display,,,,University of Utah,Classroom,HSEB,HSEB 1007,1007,"Jan 01, 2019",2026
2,,"Audio (Speaker, amplifier)",,,,University of Utah,Classroom,HSEB,HSEB 3100D,3100D,"Jan 01, 2019",2026
Magewell,Video Capture device,Accessory,,,,University of Utah,Classroom,JWB,JWB 208 - F,208 - F,"Jan 01, 2019",2026
codec,,Accessory,,,,University of Utah,Classroom,HSEB,HSEB 1750,1750,"Jan 01, 2019",2026
Da-Lite,,Accessory,,,,University of Utah,Classroom,JTB,JTB 120,120,"Jan 01, 2019",2026
Panasonic,PT-MZ682WU7,Display,,,,University of Utah,Classroom,HSEB,HSEB 4100C,4100C,"Jan 01, 2019",2026
Epson,PowerLite L510U,Display,,38.9d.92.e0.04.b5,,University of Utah,Classroom,WBB,WBB 617 - F,617 - F,"Jan 01, 2019",2026
Panasonic,PT-VMZ61,Display,10.80.35.144,B8:20:8E:58:81:E6,,University of Utah,Classroom,JWB,JWB 208 - F,208 - F,"Jan 01, 2019",2026
Crestron,TSW-1060,User Interface,10.72.36.52,00.10.7f.c0.0a.33,,University of Utah,Classroom,HSEB,HSEB 1750,1750,"Jan 01, 2019",2026
1 hanging from ceiling,,Audio (Microphone),,,,University of Utah,Classroom,JTB,JTB 120,120,"Jan 01, 2019",2026
Rocware,RM-702,Audio (Microphone),,,,University of Utah,Classroom,HSEB,HSEB 3100A,3100A,"Jan 01, 2019",2026
